id_material,date,material_name,type,amount,unit,photo
1063,2024-11-01,"Wet Organic (Food Waste)",Organic,45.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/vqezgschjdif487.jpg
1064,2024-11-01,"General Paper Residue",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/vy9zi7s8rph2ekm.jpg
1065,2024-11-01,"General Plastic Residue",Residue,1.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/x_cdkzpgvslut2e.jpg
1066,2024-11-01,"Plastic Bag Liner",Residue,0.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/fa3zr21knqgoc0t.jpg
1058,2024-10-31,"Wet Organic (Food Waste)",Organic,55.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/r7xz02nlq58mayu.jpg
1059,2024-10-31,"General Paper Residue",Residue,7.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/9erzl3jt8ohvfqx.jpg
1060,2024-10-31,"General Plastic Residue",Residue,5.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/egdxnc4ibyht_2s.jpg
1061,2024-10-31,"Plastic Bag Liner",Residue,1.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/refno97z46vq_mk.jpg
1062,2024-10-31,"Aluminium Can","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/lgp3m7oqak61nie.jpg
1052,2024-10-30,"General Paper Residue",Residue,8.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/o6kg72xvmfl0npy.jpg
1053,2024-10-30,"General Plastic Residue",Residue,6.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ebs4_izvhpx10yr.jpg
1054,2024-10-30,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/duei1gcatb83swr.jpg
1055,2024-10-30,"Wet Organic (Food Waste)",Organic,49.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jogidwbz5rtah9u.jpg
1056,2024-10-30,"Aluminium Can","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/uyz_ksb92rov8wq.jpg
1057,2024-10-30,"Tetra Pack","Non Organic",0.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2az3rb7xpcl1ydo.jpg
1047,2024-10-29,"General Paper Residue",Residue,12.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/83vcxymsbnt9ako.jpg
1048,2024-10-29,"General Plastic Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/hw2y_dj6zvcpbo0.jpg
1049,2024-10-29,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_m652v9twbcyf8u.jpg
1050,2024-10-29,"Glass Bottle","Non Organic",3.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/1rh4wdvgy02as_o.jpg
1051,2024-10-29,"Plastic bottle","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ythx9uljwec2q7a.jpg
974,2024-10-29,"Wet Organic (Food Waste)",Organic,45.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/gkrmpsv7nlhi9t8.jpg
1042,2024-10-28,"General Paper Residue",Residue,9.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/h0cre4xkulwvf75.jpg
1043,2024-10-28,"General Plastic Residue",Residue,7.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/df_oax10ipw46nz.jpg
1044,2024-10-28,"Plastic Bag Liner",Residue,2.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/cf4wez8d1a7vhp_.jpg
1045,2024-10-28,"Glass Bottle","Non Organic",3.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/6qu_4i8sg9r5pom.jpg
1046,2024-10-28,"Aluminium Can","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rm3q6ityp7b8gzc.jpg
973,2024-10-28,"Wet Organic (Food Waste)",Organic,51.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kyuztadeivp14sj.jpg
1037,2024-10-27,"General Paper Residue",Residue,13.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ls8b62qjvg1xwd0.jpg
1038,2024-10-27,"General Plastic Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/dk1zw50gextl_f7.jpg
1039,2024-10-27,"Plastic Bag Liner",Residue,2.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/1lxibdhg6vaf0qr.jpg
1040,2024-10-27,"Tetra Pack","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/mtcsy3kfiqja_2n.jpg
1041,2024-10-27,"Glass Bottle","Non Organic",6.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/aispc6u8hotd51n.jpg
972,2024-10-27,"Wet Organic (Food Waste)",Organic,53.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/b3x1fj2mt_ik7wc.jpg
1034,2024-10-26,"General Paper Residue",Residue,11.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/3e8oj7izv0_4b9x.jpg
1035,2024-10-26,"General Plastic Residue",Residue,11.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qedrnugowyhb2cm.jpg
1036,2024-10-26,"Plastic Bag Liner",Residue,3.1,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/bip12vsrn5hd3tu.jpg
971,2024-10-26,"Wet Organic (Food Waste)",Organic,53.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/y2t9qbgfmlu48hs.jpg
1029,2024-10-25,"General Paper Residue",Residue,9.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/lo0ay9m3nxu54dz.jpg
1030,2024-10-25,"General Plastic Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/j12ncksh74gefb0.jpg
1031,2024-10-25,"Plastic Bag Liner",Residue,2.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/szvedpja78_ciqr.jpg
1032,2024-10-25,"Glass Bottle","Non Organic",3.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/_bxwqcrtlj297uy.jpg
1033,2024-10-25,Slipper,Other,1,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kh0uoj4z3neyp5l.jpg
970,2024-10-25,"Wet Organic (Food Waste)",Organic,52.9,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/kmf2yg1vzi5haw3.jpg
1025,2024-10-24,"General Paper Residue",Residue,10.6,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qh8vknpm6a3xsb1.jpg
1026,2024-10-24,"General Plastic Residue",Residue,8.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/2f8y3u9qiab0sdp.jpg
1027,2024-10-24,"Plastic Bag Liner",Residue,3.1,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/rysc1f3hp2wql70.jpg
1028,2024-10-24,"Glass Bottle","Non Organic",3.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qncikp9e_ut8wjm.jpg
969,2024-10-24,"Wet Organic (Food Waste)",Organic,49.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/ucdhzjai_ke0gbm.jpg
1024,2024-10-23,"Plastic bottle","Non Organic",0.2,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/qviau4176ych2_z.jpg
968,2024-10-23,"Wet Organic (Food Waste)",Organic,62.3,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/4j9_v501wehduzm.jpg
1020,2024-10-23,"General Paper Residue",Residue,12.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/4lw56jz3078ityp.jpg
1021,2024-10-23,"General Plastic Residue",Residue,10.5,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/av7w_pdqmexn2os.jpg
1022,2024-10-23,"Plastic Bag Liner",Residue,2.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/gn_tl1xcrv7ajbq.jpg
1023,2024-10-23,"Glass Bottle","Non Organic",5.4,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/xjbqgh8_p93l4r1.jpg
967,2024-10-22,"Wet Organic (Food Waste)",Organic,57.8,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/df2ircxuzhe9y6m.jpg
1018,2024-10-22,"General Paper Residue",Residue,10.7,Kg,https://www.wiseorganicfarm.com/composbte/uploads/files/jarzwoeh5fnuy8s.jpg
